dia,id_vuelo,origen,destino_programado,destino_final,redirigido,es_exterior,salida_programada,llegada_real,retraso_total_min,retraso_por_redireccion_min,combustible_consumido_l,tipo_aeronave
1,A23A4500445,A23,A45,A45,False,False,360.0,403.8303575898996,12.83035758989962,0.0,1637.214772226822,corto_radio
1,A37A3000512,A37,A30,A30,False,False,375.0,408.17135791365047,13.171357913650468,0.0,1078.287007382162,corto_radio
1,A48A2500470,A48,A25,A25,False,False,374.0,419.90318713119785,16.903187131197853,0.0,1876.7662372482805,corto_radio
1,A31A3700519,A31,A37,A37,False,False,372.0,420.3956992913518,13.395699291351775,0.0,1908.6950634441707,corto_radio
1,A36A2400459,A36,A24,A24,False,False,388.0,422.92269862535784,15.922698625357839,0.0,1275.205457954489,corto_radio
1,A28A2300431,A28,A23,A23,False,False,376.0,424.0444561071078,13.044456107107806,0.0,1830.906153902416,corto_radio
1,A3A3600072,A3,A36,A36,False,False,372.0,425.7299405227669,13.729940522766924,0.0,2080.8356689645266,corto_radio
1,A24A100009,A24,A1,A1,False,False,419.0,440.3401565069656,14.340156506965627,0.0,489.7335656502008,corto_radio
1,A33A4800540,A33,A48,A48,False,False,416.0,442.0,15.0,0.0,722.9001831685899,corto_radio
1,A19A2500384,A19,A25,A25,False,False,379.0,444.0923715702763,20.092371570276327,0.0,2849.832788183835,corto_radio
1,A20A300057,A20,A3,A3,False,False,414.0,444.56966398917467,14.569663989174671,0.0,990.4824176187072,corto_radio
1,A44A3600561,A44,A36,A36,False,False,407.0,446.8768055377069,12.8768055377069,0.0,1416.8172669558364,corto_radio
1,A19A2700386,A19,A27,A27,False,False,432.0,456.6774391481463,14.677439148146277,0.0,698.717814895213,corto_radio
1,A27A200038,A27,A2,A2,False,False,413.0,456.94478284532147,12.94478284532147,0.0,1600.9544768916335,corto_radio
1,A23A100008,A23,A1,A1,False,False,411.0,457.889527490023,12.889527490023,0.0,1793.2978572633615,corto_radio
1,A3A1900056,A3,A19,A19,False,False,400.0,458.12344331650235,13.123443316502346,0.0,2286.176889338121,corto_radio
1,A39A400096,A39,A4,A4,False,False,395.0,458.7285159672924,16.728515967292424,0.0,2652.805328616514,corto_radio
1,A34A3500542,A34,A35,A35,False,False,419.0,463.04818348106227,12.048183481062267,0.0,1614.8297305790957,corto_radio
1,A39A3000513,A39,A30,A30,False,False,430.0,464.0514326938121,14.051432693812103,0.0,1149.158554622721,corto_radio
1,A22A1500316,A22,A15,A15,False,False,425.0,467.8064165482612,12.806416548261211,0.0,1544.5291365647552,corto_radio
