dia,minuto,aeropuerto,evento,ocupacion,capacidad
4,0.0,XRY,ocupacion_inicial,2,4
4,0.0,VGO,ocupacion_inicial,2,5
4,0.0,BJZ,ocupacion_inicial,3,4
4,0.0,GRX,ocupacion_inicial,3,5
4,0.0,LEI,ocupacion_inicial,2,4
4,0.0,SLM,ocupacion_inicial,3,4
4,0.0,SPC,ocupacion_inicial,1,5
4,0.0,GMZ,ocupacion_inicial,3,4
4,0.0,TFS,ocupacion_inicial,2,5
4,0.0,VDE,ocupacion_inicial,3,4
4,0.0,OVD,ocupacion_inicial,2,5
4,0.0,VLL,ocupacion_inicial,3,4
4,0.0,SDR,ocupacion_inicial,3,4
4,0.0,EAS,ocupacion_inicial,3,4
4,0.0,ODB,ocupacion_inicial,4,4
4,0.0,LCG,ocupacion_inicial,3,5
4,0.0,ABC,ocupacion_inicial,4,4
4,0.0,AEI,ocupacion_inicial,3,4
4,0.0,RGS,ocupacion_inicial,4,4
4,0.0,JCU,ocupacion_inicial,3,4
4,0.0,GRO,ocupacion_inicial,4,4
4,0.0,HSK,ocupacion_inicial,4,4
4,0.0,LEN,ocupacion_inicial,3,4
4,0.0,RJL,ocupacion_inicial,3,4
4,0.0,MCV,ocupacion_inicial,4,4
4,0.0,MLN,ocupacion_inicial,2,4
4,0.0,MJV,ocupacion_inicial,4,4
4,0.0,PMI,ocupacion_inicial,1,11
4,0.0,PNA,ocupacion_inicial,3,4
4,0.0,REU,ocupacion_inicial,4,4
4,0.0,QSA,ocupacion_inicial,4,4
4,0.0,SBO,ocupacion_inicial,3,4
4,0.0,VIT,ocupacion_inicial,2,4
4,0.0,ZAZ,ocupacion_inicial,3,4
4,90.0,PMI,ext_llegada,2,11
4,90.0,PMI,ext_llegada,3,11
4,90.0,PMI,ext_llegada,4,11
4,92.0,ALC,ext_llegada,1,6
4,92.0,ALC,ext_llegada,2,6
4,92.0,ALC,ext_llegada,3,6
4,92.0,ALC,ext_llegada,4,6
4,92.0,ALC,ext_llegada,5,6
4,92.0,FUE,ext_llegada,1,6
4,92.0,FUE,ext_llegada,2,6
4,92.0,FUE,ext_llegada,3,6
4,92.0,FUE,ext_llegada,4,6
4,92.0,FUE,ext_llegada,5,6
4,93.0,MAH,ext_llegada,1,6
4,93.0,MAH,ext_llegada,2,6
4,94.0,SVQ,ext_llegada,1,8
4,94.0,SVQ,ext_llegada,2,8
